idx,start,end,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
100,1287,1298,29.47238,0.17903292,27.023659,28.940205,32.582676,5.559017,194.19905,271.3913,130.68123,148.04787,0.9746654,0.63592094,0.41461888,0.8643649,1.5060275,1.0914086,16.392876,10.19444,10.598469,5.7718167,0.8872605,0.96176046,31.439669,0.52178186,11.238094,1.2733204,2.7328243,6.0076194,-2.3537138,-6.15927,0.054166783,2.0657544,1.256469,0.6867988,4.873203,1.0105807,3.7570736,3.2507346,29.06555,0.45106193,547.8896,0.3161686,1343.8491,0.16545855,-49.988773,-1.5145311,1550.513,0.1838076,1077.7483,0.36430153,-58.061146,-1.1596807,2613.4963,0.116323635,940.0928,0.3949728,-64.96454,-0.98394513,-19.818056,-0.46336135,31.98803,0.3333571,0.06554589,0.546809,-0.03119249,-0.46470895,1.054361,0.8241797,36.322086,0.35509533,12.179709,1.1119938,3.38631,5.2001915,-3.4011905,-4.5981817,-4.685186,13.555907,0.030112846,-0.010266743,0.23306069,3.912648,2.1043003,0.37173912,0.33051538,0.0955,0.09308464,-21.427565
100,1438,1451,30.449284,0.17711262,27.461414,29.723768,35.06173,7.600315,103.796974,132.69914,50.505226,59.600662,0.99374413,0.64912623,0.42982256,0.84834844,1.4409693,1.0111468,14.522676,7.6042495,8.7822075,4.4704638,0.9731529,1.0657356,31.351446,0.53030366,8.219917,1.886025,3.2548413,4.3343315,-7.9179482,-1.8574132,0.04167649,1.4850558,1.3123906,0.74463737,4.588085,1.0437479,5.720118,1.4074712,31.265654,0.3708865,554.80695,0.2975706,1359.154,0.15866934,-47.204487,-1.5696665,1548.7012,0.18322253,1119.0127,0.26832587,-58.139904,-1.1417809,2637.4412,0.11816016,963.2424,0.4194158,-65.0453,-0.9670151,-19.543879,-0.4820534,31.5814,0.32623306,0.071505494,0.53426766,-0.029804397,-0.5462925,1.135498,0.95205563,36.394894,0.34326023,9.644911,1.6007761,3.6600761,4.048966,-9.095433,-1.7161611,-3.3330472,11.015933,0.04212134,-0.009579166,0.28225148,4.0030794,1.7027863,0.465,0.58699346,0.10380953,0.0866562,-21.525888
101,118,154,29.575861,0.19939744,26.00048,29.194542,34.610744,8.610264,111.896095,100.282,87.52239,100.22849,2.0060875,0.51298,1.041327,1.887226,2.9360669,1.8947399,28.075624,14.851667,20.38926,9.277103,2.3590229,0.7413751,29.234203,0.59698075,10.612325,1.4050354,-2.085894,-6.866085,0.9363001,15.4708805,0.049998876,1.6906129,1.3197556,0.66943246,4.1838403,1.1305847,3.9582307,2.2135625,27.723871,0.44198665,542.91943,0.34173226,1354.7415,0.1785782,-40.66841,-1.7571368,1534.8656,0.17526425,1075.3998,0.30111337,-49.934193,-1.2727008,2560.2627,0.120538145,958.93286,0.40853384,-57.04257,-1.059084,-17.689323,-0.4709203,29.255262,0.33128217,0.057164714,0.594447,-0.030412043,-0.5053546,2.636472,0.6630185,34.074917,0.40903002,11.025211,1.3477664,-1.6616229,-9.001609,0.4902102,31.24599,-2.516275,9.998466,0.034101438,-0.011141472,0.9329833,4.973604,1.61425,0.5096552,0.5243418,0.10117647,0.10294959,-14.484689
101,253,279,28.231625,0.17475043,24.720448,28.077871,32.435528,7.7150803,249.1348,386.93732,99.448,145.09792,1.8757637,0.528687,0.93869174,1.725882,2.797808,1.8591162,27.588203,16.154827,18.463966,8.813155,2.2420087,0.7619176,30.987709,0.51322615,15.013129,0.9524999,-1.6046476,-9.440245,0.3594844,40.053684,0.0427029,1.7090331,1.376113,0.72195923,3.9822288,1.1591806,3.8002868,2.5176165,29.596886,0.392569,531.2666,0.33389887,1362.5111,0.16509226,-31.928993,-1.9377254,1523.1222,0.17704068,1092.5977,0.27611125,-44.446148,-1.2480952,2557.337,0.123075336,1006.97577,0.38780653,-52.443394,-0.997641,-19.43752,-0.43155938,31.062876,0.30690107,0.052291207,0.65219575,-0.03161943,-0.4717249,2.437634,0.70099753,34.400803,0.37734655,15.730455,0.8992317,-1.1157082,-14.14584,0.07237524,206.63031,-3.1162093,11.55955,0.035612408,-0.011726022,0.8660047,5.0404,1.7354416,0.49622223,0.44984588,0.07617647,0.07182556,-14.625361
101,337,384,29.583317,0.19187438,26.045185,29.26152,34.759487,8.714302,227.27394,335.1881,87.669044,94.95674,1.910295,0.52296466,0.95056736,1.8065637,2.8482356,1.8976682,27.21452,13.354637,19.784363,9.52204,2.263409,0.76967245,29.906034,0.56498414,11.699629,1.1825228,-1.7343737,-8.592613,-0.72195184,-18.583364,0.04399249,1.6621774,1.3441896,0.6899661,4.542691,1.101927,4.908458,2.0410185,29.07643,0.41393855,534.08984,0.32750666,1370.8406,0.17334197,-39.667366,-1.7776246,1529.9218,0.170566,1074.8434,0.31671,-49.722332,-1.263547,2559.4534,0.11581706,1003.28845,0.396721,-57.21922,-1.0412871,-18.417805,-0.4259538,30.031675,0.31993014,0.06049616,0.5795359,-0.03167731,-0.4466105,2.523152,0.68564916,34.43375,0.39142433,11.795655,1.1505504,-1.4823781,-10.613144,-1.1085224,-12.785871,-3.7351434,10.957963,0.03667993,-0.0129158925,0.89867723,5.150032,1.7472832,0.4709756,0.48681548,0.091527775,0.0849454,-14.577871
101,581,597,29.283928,0.206782,24.831093,28.938824,34.12739,9.296299,190.60907,242.04063,44.977367,28.141636,1.8080664,0.59307766,0.7796726,1.5917526,2.8425226,2.06285,28.56248,16.324415,19.102432,9.366145,2.1597393,0.8438377,30.334381,0.5332007,10.194712,1.4888597,-2.2891176,-6.928351,-1.4736215,-9.246773,0.04625327,1.4621723,1.4425097,0.7471752,4.163906,1.1498948,5.074162,1.7557718,30.14365,0.38357458,572.1376,0.32690334,1393.9558,0.16744788,-44.59181,-1.6231356,1557.7563,0.18092269,1126.7356,0.2738192,-53.293613,-1.2316622,2618.7373,0.12194758,1005.6126,0.35133743,-61.52622,-1.0032569,-18.786516,-0.4588385,31.571665,0.31065094,0.051179945,0.78111064,-0.03006882,-0.49185914,2.4198372,0.7547423,35.242126,0.3318,11.074679,1.3162365,-2.242671,-7.5157804,-2.138708,-6.7215104,-2.6408973,11.017215,0.033243038,-0.0099263275,0.8708152,4.6278925,1.5693661,0.5156,0.49744213,0.114090905,0.10662845,-15.10742
101,1070,1087,30.170485,0.17349283,26.913742,29.9747,34.13333,7.219589,133.4444,122.59547,71.10057,83.01522,2.0173922,0.4990157,1.0507286,1.9769106,2.9047885,1.8540599,26.530073,15.517699,19.398247,9.283148,2.4106505,0.73270017,30.560368,0.5309129,13.647685,1.0650572,-6.2603307,-2.4385364,-2.6832557,-5.594731,0.038093433,1.655824,1.3458375,0.6898826,4.5658073,1.0073115,3.7759004,2.5669668,30.454884,0.36112422,537.5793,0.318669,1382.4042,0.16567388,-33.733784,-1.9631592,1502.7996,0.17690472,1088.805,0.2798096,-44.401733,-1.312307,2570.921,0.11222953,951.23175,0.3704827,-53.999348,-1.0104243,-18.199667,-0.43452016,30.818336,0.30462074,0.062018268,0.5298059,-0.030004907,-0.48129594,2.6259909,0.6608867,34.258537,0.38635248,13.974256,0.97785765,-6.057917,-2.6777146,-3.2094593,-4.910323,-3.6755424,12.286404,0.039213277,-0.011724821,1.0500009,4.9440846,1.416765,0.6045833,0.6259991,0.09142857,0.06861109,-14.314789
102,239,260,27.805048,0.16104364,25.9816,27.903767,30.809021,4.827421,287.6889,377.7259,78.231155,100.22061,1.4526592,0.55612344,0.6912352,1.3510818,2.1543903,1.4631552,23.0232,13.411443,15.959572,8.902554,1.4929234,0.8377254,31.909044,0.59556407,13.904259,0.9135833,0.05054785,265.88156,-3.13897,-4.477143,0.048282582,2.0219433,1.4330394,0.78064394,4.010901,1.1850915,1.7419266,5.0074086,29.875671,0.430265,536.8074,0.31263623,1350.5198,0.17238533,-38.286198,-1.7982979,1523.5555,0.18718024,1083.981,0.34059307,-50.675858,-1.2304214,2589.4216,0.12354388,961.7468,0.37851432,-58.93662,-0.9960126,-19.84688,-0.43609652,31.592321,0.32823378,0.058256034,0.548337,-0.036330953,-0.45964554,1.6811364,0.75321907,37.374096,0.38006973,14.370041,0.85456115,0.4662139,30.383816,-4.1974053,-3.479321,-1.6903553,8.819538,0.03176692,-0.011552572,0.52283925,4.859457,1.4804204,0.5603226,0.57750005,0.111538455,0.06004436,-17.197067
102,300,318,28.953089,0.2147255,25.062593,28.901371,33.439857,8.377264,224.19957,285.7984,85.56737,70.798904,1.5196227,0.60678554,0.6979941,1.3720499,2.2020178,1.5040237,23.864767,12.945101,17.85707,9.152664,1.7648491,0.895457,29.511486,0.6013007,11.620033,1.3500952,-5.0852556,-3.00878,-0.8637481,-15.921064,0.055188045,1.6907252,1.4668823,0.73353374,3.3229468,1.4160943,3.0570648,2.664414,28.608837,0.42639443,528.74524,0.29326338,1369.5906,0.15750104,-40.74756,-1.730637,1502.5565,0.16348422,1106.497,0.3385051,-50.35445,-1.2619425,2545.2478,0.115454525,984.94885,0.33659992,-58.862682,-1.013438,-17.702036,-0.5006105,30.668516,0.33304295,0.05971231,0.60768545,-0.029394705,-0.4921966,2.0088832,0.801399,34.68509,0.38973546,11.389247,1.3476256,-4.7147765,-3.3624637,-1.6895665,-8.615683,-2.0365705,9.378192,0.032899525,-0.009741396,0.57913774,5.113952,2.0635805,0.3951351,0.31089774,0.0816129,0.054482713,-17.390871
102,1535,1545,26.43098,0.23786843,22.527859,25.690134,30.737473,8.209614,300.60397,408.04068,91.34475,84.52547,1.0881008,0.6133021,0.54445636,0.92630816,1.5709758,1.0265194,17.34959,12.111076,12.048345,7.5166545,1.1607815,1.087173,29.559002,0.57280505,10.508749,1.3459932,-3.50525,-3.9879344,-1.6718448,-7.9077,0.05381035,1.6308832,1.5825096,0.7097909,2.0289161,2.273195,5.42437,1.735297,30.494432,0.3904678,527.28564,0.28664154,1363.4027,0.15510918,-60.31948,-1.3639458,1481.515,0.17102608,1135.653,0.27610177,-68.102615,-1.1154749,2546.5684,0.122682996,984.26965,0.37747452,-75.97407,-0.93654054,-18.041677,-0.5092324,31.18811,0.29849178,0.045311205,0.7754032,-0.02910998,-0.5439172,1.4092878,0.96915424,35.632362,0.37270626,11.803604,1.2014182,-2.5853896,-6.0258927,-1.7166864,-8.414494,-5.2415156,13.839856,0.032449014,-0.014262969,0.46270433,4.204204,2.2155087,0.3240909,0.29401082,0.117,0.0836122,-20.57001
